scenario_key,importer,commodity,year,shock_rank,baseline_imports,supplier_count,largest_supplier_share,top3_supplier_share,top5_supplier_share,HHI,entropy,normalized_entropy,import_dependence,calorie_share,protein_share,lost_supply,shock_loss_share,remaining_import_share,replacement_rate,total_replacement,tier1_replacement,tier2_replacement,tier3_replacement,tier1_replacement_share,tier2_replacement_share,tier3_replacement_share,unreplaced_supply,unreplaced_loss_share,residual_import_share,new_origin_share,new_origin_required,historical_supplier_required,type,resilience_profile,capacity_status
1_Palm Oil_2021_R1,1,Palm Oil,2021,1,1269.46,6.0,0.2636396578072566,0.6499220140847288,0.937138625872418,0.189767206127973,1.7164433536238806,0.957965275530748,0.0263357780572538,0.0250559675153112,0.0,334.68,0.2636396578072566,0.7363603421927434,1.0,334.68,334.68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Palm Oil_2022_R1,1,Palm Oil,2022,1,836.12,7.0,0.3165933119647897,0.7465555183466487,0.9481653351193606,0.2212868758938233,1.6538775188303103,0.8499249154094928,-0.0227802667085855,0.0239216732828501,0.0,264.71,0.3165933119647897,0.6834066880352103,1.0,264.71,264.71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Palm Oil_2023_R1,1,Palm Oil,2023,1,1121.36,7.0,0.4831900549332952,0.8267728472569023,0.9700809731040876,0.3042802425640275,1.4384715069168708,0.7392281229506973,0.003132492845541,0.0247513262599469,0.0,541.83,0.4831900549332952,0.5168099450667047,1.0,541.83,541.83,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Rice_2010_R1,1,Rice,2010,1,77.0,2.0,0.974025974025974,1.0,1.0,0.9494012481025468,0.1204560338492268,0.1737813226794327,0.002974342831994,0.1862706579026543,0.1271076523994811,75.0,0.974025974025974,0.0259740259740259,,,,,,,,,75.0,0.974025974025974,0.025974025974025983,,0,0,capacity_history_insufficient,,capacity_history_insufficient
1_Rice_2011_R1,1,Rice,2011,1,865.0,2.0,0.9479768786127168,1.0,1.0,0.9013665675431856,0.2044296560053249,0.2949296509295189,0.0013053609089053,0.188501400511002,0.1290095170955234,820.0,0.9479768786127168,0.0520231213872832,1.0,820.0,0.0,0.0,820.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,1,Type C,New-origin dependent,capacity_available
1_Rice_2012_R1,1,Rice,2012,1,815.0,4.0,0.8834355828220859,0.9754601226993864,0.9999999999999998,0.7857653656516993,0.47858864819612,0.3452287346891475,-0.001179275441802,0.1837270249125552,0.1258503401360544,720.0,0.8834355828220859,0.1165644171779141,1.0,720.0,720.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Rice_2013_R1,1,Rice,2013,1,182.0,2.0,0.5714285714285714,1.0,1.0,0.510204081632653,0.6829081047004717,0.9852281360342516,-0.001004999874375,0.1841730246042555,0.1256123163051084,104.0,0.5714285714285714,0.4285714285714286,1.0,104.0,104.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Rice_2014_R1,1,Rice,2014,1,104.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.003625283355881,0.1801459762987698,0.1231498612395929,104.0,1.0,0.0,1.0,104.0,0.0,104.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,Type B,Historically recoverable,capacity_available
1_Rice_2015_R1,1,Rice,2015,1,3.79,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0009846447890471,0.1795606792335254,0.1221672610146094,3.79,1.0,0.0,1.0,3.79,0.0,3.79,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,Type B,Historically recoverable,capacity_available
1_Rice_2016_R1,1,Rice,2016,1,192.0,6.0,0.5875,0.9914583333333332,0.9999479166666664,0.4979784776475695,0.7813959693489373,0.4361053940379546,0.002209859804593,0.1758966654578735,0.1192325262677021,112.8,0.5875,0.4125,1.0,112.8,112.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
